iter	Passed	Remaining
0	141	141312
1	145	72398
2	151	50273
3	155	38725
4	158	31609
5	162	26862
6	165	23512
7	169	20987
8	171	18918
9	173	17221
10	176	15862
11	178	14668
12	179	13647
13	181	12770
14	183	12017
15	184	11334
16	185	10731
17	186	10194
18	188	9710
19	189	9288
20	190	8898
21	192	8552
22	193	8229
23	194	7928
24	196	7651
25	197	7395
26	198	7164
27	200	6952
28	201	6754
29	203	6563
30	204	6383
31	205	6213
32	206	6057
33	207	5908
34	209	5772
35	210	5640
36	211	5514
37	213	5395
38	214	5283
39	215	5176
40	216	5073
41	218	4977
42	219	4884
43	220	4794
44	222	4711
45	223	4633
46	224	4557
47	226	4484
48	227	4414
49	228	4350
50	230	4283
51	231	4218
52	232	4155
53	233	4098
54	235	4041
55	236	3985
56	237	3932
57	239	3883
58	240	3834
59	241	3786
60	242	3739
61	244	3697
62	245	3655
63	247	3616
64	248	3576
65	249	3536
66	251	3499
67	252	3466
68	254	3430
69	255	3395
70	256	3360
71	258	3328
72	259	3294
73	260	3261
74	261	3229
75	263	3198
76	264	3167
77	265	3138
78	266	3109
79	267	3080
80	269	3054
81	270	3028
82	271	2997
83	272	2973
84	273	2948
85	275	2923
86	276	2898
87	277	2874
88	278	2852
89	279	2829
90	281	2807
91	282	2786
92	283	2765
93	284	2744
94	286	2727
95	287	2708
96	288	2687
97	289	2667
98	290	2648
99	292	2629
100	293	2611
101	294	2593
102	295	2576
103	297	2558
104	298	2542
105	299	2527
106	300	2511
107	302	2495
108	303	2479
109	304	2464
110	305	2448
111	306	2433
112	308	2418
113	309	2404
114	310	2389
115	311	2376
116	312	2361
117	314	2348
118	315	2335
119	316	2322
120	317	2309
121	318	2295
122	320	2282
123	321	2270
124	322	2257
125	323	2245
126	324	2232
127	325	2220
128	327	2209
129	328	2198
130	329	2187
131	330	2175
132	332	2164
133	333	2154
134	334	2143
135	335	2133
136	336	2122
137	338	2112
138	339	2101
139	340	2092
140	341	2082
141	342	2071
142	344	2062
143	345	2052
144	346	2043
145	347	2034
146	349	2025
147	350	2016
148	351	2007
149	352	1999
150	354	1990
151	355	1981
152	356	1973
153	357	1965
154	358	1957
155	360	1948
156	361	1940
157	362	1932
158	363	1924
159	365	1916
160	365	1906
161	367	1899
162	368	1891
163	369	1883
164	370	1876
165	372	1869
166	373	1862
167	374	1855
168	376	1849
169	377	1842
170	378	1835
171	379	1828
172	380	1821
173	382	1814
174	383	1807
175	384	1801
176	385	1794
177	387	1787
178	388	1781
179	389	1775
180	390	1768
181	392	1762
182	393	1755
183	394	1748
184	395	1742
185	396	1735
186	397	1729
187	399	1723
188	400	1717
189	401	1711
190	402	1705
191	404	1700
192	405	1694
193	406	1688
194	407	1682
195	408	1676
196	409	1670
197	411	1665
198	412	1659
199	413	1654
200	414	1648
201	415	1643
202	417	1637
203	418	1632
204	419	1626
205	420	1621
206	421	1615
207	423	1610
208	424	1605
209	425	1600
210	426	1594
211	427	1589
212	428	1584
213	430	1579
214	431	1574
215	432	1569
216	433	1565
217	435	1560
218	436	1555
219	437	1550
220	438	1545
221	439	1540
222	440	1535
223	441	1531
224	443	1526
225	444	1521
226	445	1517
227	446	1512
228	448	1508
229	449	1504
230	450	1499
231	451	1495
232	452	1491
233	454	1486
234	455	1482
235	456	1478
236	457	1474
237	459	1469
238	460	1465
239	461	1460
240	462	1456
241	463	1452
242	465	1448
243	466	1444
244	467	1440
245	468	1436
246	469	1432
247	471	1428
248	472	1424
249	473	1420
250	474	1416
251	475	1411
252	476	1407
253	478	1404
254	479	1400
255	480	1396
256	481	1392
257	482	1388
258	484	1384
259	485	1381
260	486	1377
261	487	1373
262	488	1370
263	490	1366
264	491	1362
265	492	1358
266	493	1355
267	494	1351
268	496	1347
269	497	1344
270	498	1341
271	499	1338
272	501	1334
273	502	1331
274	503	1327
275	504	1324
276	505	1320
277	507	1317
278	508	1314
279	509	1310
280	511	1307
281	512	1304
282	513	1300
283	514	1297
284	515	1294
285	517	1290
286	518	1287
287	519	1283
288	520	1280
289	521	1277
290	523	1274
291	524	1271
292	525	1268
293	526	1264
294	527	1261
295	529	1258
296	530	1255
297	531	1252
298	532	1248
299	533	1245
300	535	1242
301	536	1239
302	537	1236
303	538	1233
304	539	1230
305	541	1227
306	542	1224
307	543	1221
308	544	1218
309	545	1214
310	547	1211
311	548	1208
312	549	1205
313	550	1202
314	551	1199
315	552	1196
316	554	1193
317	555	1191
318	556	1188
319	557	1185
320	558	1182
321	560	1179
322	561	1176
323	562	1173
324	563	1171
325	565	1168
326	566	1165
327	567	1162
328	569	1160
329	570	1157
330	571	1155
331	572	1152
332	573	1149
333	575	1146
334	576	1143
335	577	1141
336	578	1138
337	579	1135
338	580	1132
339	582	1129
340	583	1127
341	584	1124
342	585	1122
343	587	1119
344	588	1117
345	589	1114
346	590	1111
347	591	1108
348	593	1106
349	594	1103
350	595	1100
351	596	1098
352	597	1096
353	599	1093
354	600	1090
355	601	1088
356	602	1085
357	603	1083
358	605	1080
359	606	1077
360	607	1075
361	608	1072
362	610	1070
363	611	1067
364	612	1065
365	613	1063
366	615	1061
367	616	1058
368	617	1056
369	618	1053
370	619	1050
371	621	1048
372	622	1045
373	623	1043
374	624	1041
375	625	1038
376	627	1036
377	628	1033
378	629	1031
379	630	1028
380	631	1026
381	633	1024
382	634	1021
383	635	1019
384	636	1016
385	637	1014
386	638	1011
387	640	1009
388	641	1007
389	642	1005
390	643	1002
391	645	1000
392	646	998
393	647	995
394	648	993
395	649	991
396	651	988
397	652	986
398	653	984
399	654	981
400	655	979
401	657	977
402	658	975
403	659	973
404	660	970
405	662	968
406	663	966
407	664	964
408	665	962
409	667	960
410	668	957
411	669	955
412	670	953
413	672	951
414	673	949
415	674	947
416	676	945
417	677	943
418	678	941
419	679	939
420	681	936
421	682	934
422	683	932
423	685	930
424	686	928
425	687	926
426	688	924
427	689	922
428	691	919
429	692	917
430	693	915
